"Name","Required","Passed","EvidenceStatus","EvidenceSource","ActualValue","MinimumValue","EvidenceDetail","NextAction"
"FocusedAclScenarios","True","True","PlanOnly","LabPlan","256","1","PlanValue=256","Create or scan the lab so this criterion is backed by live directory, filesystem, or export evidence."
"EnterpriseUserPopulation","True","True","LiveEvidence","ActiveDirectory","2500","2500","DirectoryUsers=2500; PlannedUsers=2500; OU=OU=ShareSurferLab,DC=lab,DC=contoso,DC=com; DirectoryUsers=2500; DirectoryGroups=500","No action needed for this criterion."
"EnterpriseGroupPopulation","True","True","LiveEvidence","ActiveDirectory","500","500","DirectoryGroups=500; PlannedGroups=500; OU=OU=ShareSurferLab,DC=lab,DC=contoso,DC=com; DirectoryUsers=2500; DirectoryGroups=500","No action needed for this criterion."
"EnterpriseEmployeeIdentifierCoverage","True","True","LiveEvidence","ScanExport:identities.csv","255","1","UsersWithEmployeeIdentifiers=255","No action needed for this criterion."
"EnterpriseManagerChainCoverage","True","True","LiveEvidence","ScanExport:identities.csv","252","1","IdentityTwoLevelManagerChains=252; OrgChainTwoLevelManagerChains=252","No action needed for this criterion."
"EnterpriseUserObsCoverage","True","True","LiveEvidence","ScanExport:identities.csv","255","1","IdentityUsersWithObs=255; ObsAttribute=info","No action needed for this criterion."
"EnterpriseSharePopulation","True","True","LiveEvidence","ScanExport:shares.csv","250","250","ScannedShares=250; PlannedShares=250","No action needed for this criterion."
"EnterpriseRealFiles","True","True","LiveEvidence","ScanExport:items.csv","2251","2000","ScannedFileItems=2251; ActualFiles=2251; PlannedFileFixtures=2000; IncludeFiles=True; ManifestIncludeFiles=True","No action needed for this criterion."
"EnterpriseDeepPaths","True","True","LiveEvidence","ScanExport:items.csv","4201","1","ScannedDeepItems=4201; ActualDeepFiles=2223; PlannedDeepFileFixtures=1976","No action needed for this criterion."
"EnterpriseLongPathPolicy","True","True","LiveEvidence","ScanExport:findings.csv","2","1","LongPathFindings=2; PlannedLongPathScenarios=2","No action needed for this criterion."
"EnterpriseSharePermissions","True","True","LiveEvidence","ScanExport:share_permissions.csv","500","250","SharePermissionRows=500","No action needed for this criterion."
"EnterpriseAclEntries","True","True","LiveEvidence","ScanExport:acl_entries.csv","41278","256","AclRows=41278","No action needed for this criterion."
"EnterpriseFileAclEntries","True","True","LiveEvidence","ScanExport:acl_entries.csv","11244","1","FileAclRows=11244; ScannedFileItems=2251","No action needed for this criterion."
"EnterpriseOwnershipEvidence","True","True","LiveEvidence","ScanExport:items.csv","5726","1","OwnedItemRows=5726","No action needed for this criterion."
"EnterpriseDeepExplicitAceFindings","True","True","LiveEvidence","ScanExport:findings.csv","251","1","DeepExplicitAceFindings=251","No action needed for this criterion."
"EnterpriseBrokenInheritanceFindings","True","True","LiveEvidence","ScanExport:findings.csv","4","1","BrokenInheritanceFindings=4","No action needed for this criterion."
"EnterpriseConflictFindings","True","True","LiveEvidence","ScanExport:conflicts.csv","32309","1","ConflictRows=32309","No action needed for this criterion."
"EnterpriseCollectionErrors","True","True","LiveEvidence","ScanExport:collection_errors.csv","4","0","CollectionErrorRows=4","No action needed for this criterion."
"EnterpriseGroupExpansion","True","True","LiveEvidence","ScanExport:group_edges.csv","1253","1","GroupEdgeRows=1253","No action needed for this criterion."
"EnterprisePermissionGroupObsCoverage","True","True","LiveEvidence","ScanExport:identities.csv","498","498","IdentityGroupsWithObs=498; PlannedGroupsWithObs=498; ExpectedPermissionGroups=498; ObsAttribute=info","No action needed for this criterion."
"EnterpriseOwnerRiskPivots","True","True","LiveEvidence","ScanExport:owner_risk_pivots.csv","250","1","OwnerRiskPivotRows=250","No action needed for this criterion."
"EnterpriseRelatedDataAreas","True","True","LiveEvidence","ScanExport:related_data_areas.csv","250","1","RelatedDataAreaRows=250","No action needed for this criterion."
"EnterpriseOwnerReviewPackets","True","True","LiveEvidence","ScanExport:owner_review_packets.csv","250","1","OwnerReviewPacketRows=250","No action needed for this criterion."
"EnterpriseDiskBudget","True","True","LiveEvidence","FileSystem","1","1","ActualBytes=1152512; MaxLabBytes=2147483648","No action needed for this criterion."
